,Date,Open,High,Low,Close,Adj Close,Volume,Tendencia,CCI_14,WILLR_14,TSI_13_25_13,CMO,COPP,ATR_14,RSI_14,Sentimiento Promedio,Sentimiento Máximo,Sentimiento Mínimo
1930,2022-09-28,20147.77734375,20522.9765625,19962.58203125,20147.77734375,18215.275390625,46934,-1,-146.0039217207841,-92.96802460968902,-3.328628698868623,-21.55734522039601,-10.565739048902556,727.6693841024008,39.221327389802,-0.1959806781794343,0.0884548351168632,-0.7790133468806744
1931,2022-09-29,19883.212890625,20402.720703125,19402.1875,19883.212890625,17976.087890625,10150,-1,-157.37199570436815,-83.12237877251172,-6.716090751067891,-26.2202285604722,-12.872686137379487,747.1596568897294,36.889885719763896,-0.1503869315609335,0.2995663285255432,-0.7264861669391394
1932,2022-09-30,19722.068359375,20280.05859375,19481.556640625,19722.068359375,17830.3984375,44832,-1,-134.08836981418932,-88.59353007257758,-9.953921527325804,-28.98905861062641,-14.708857680914829,750.8269637636773,35.50547069468679,-0.1183569771595872,0.3749624751508236,-0.8726449673995376
1933,2022-10-03,19961.78125,20042.75390625,19710.845703125,19961.78125,18047.119140625,11943,1,-105.19942080092731,-80.04572923362791,-11.702205779490097,-21.674008413068243,-15.899492203743751,720.9041951466289,39.16299579346588,-0.2934176433995804,0.2684686593711376,-0.8447533776052296
1934,2022-10-04,20523.779296875,20604.751953125,19963.3828125,20523.779296875,18555.2109375,4017,1,-48.4565169681411,-59.902566003956295,-10.998879818531629,-6.434377081763595,-15.349530393509388,715.337517145084,46.78281145911821,-0.3003141975618507,0.0955237597227096,-0.8150399085134268
1935,2022-10-05,20443.607421875,20844.462890625,20243.982421875,20443.607421875,18482.73046875,6030,0,-23.373897410249093,-62.76874822382308,-10.67708010794778,-8.200771143639265,-14.586149287304703,707.1334422597208,45.89961442818037,-0.1399849414041167,0.3824812918901443,-0.8614484565332532
1936,2022-10-06,20644.03515625,20684.12109375,20443.607421875,20644.03515625,18663.935546875,9155,1,-0.6164395135175434,-49.06285249179655,-9.653064069866318,-2.9672858521051118,-13.603285696103931,673.8034586608121,48.51635707394744,-0.3005889226333238,0.3339686766266823,-0.86262640170753
1937,2022-10-07,20122.123046875,20626.3984375,19612.234375,20122.123046875,18192.080078125,7203,-1,-66.03783545522425,-70.47024007895817,-10.457591777548505,-14.556733420080311,-13.0003642268234,699.3746959886113,42.72163328995984,-0.3076834503694304,0.2996305003762245,-0.8561672754585743
1938,2022-10-11,19391.763671875,20041.150390625,19322.015625,19391.763671875,17531.77734375,8895,-1,-133.4475045872794,-97.19357723615572,-13.320567355505023,-27.590349523201265,-12.877108469640527,706.5698906947819,36.20482523839936,-0.2609289428801276,0.3424232937395572,-0.9215439134277404
1939,2022-10-12,19080.701171875,19722.068359375,18840.1875,19080.701171875,17250.55078125,15571,-1,-162.26298809461142,-90.9063115926564,-16.452411484293368,-32.325235935937826,-13.382838181022764,719.0921027433689,33.83738203203109,-0.3359991098669442,0.0818915143609047,-0.8185199163854122
